business_id,phone_number,name,full_address,latitude,longitude,review_count,rating,timezone,website,place_id,place_link,types,price_level,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,city,verified,photos,state,description
0x880050e389155555:0xa3e3a6f3206efec9,17153441600,Jeanette Abraham,"Jeanette Abraham, 5409 Vern Holmes Dr Ste 5409, Stevens Point, WI 54482, United States",44.4989014,-89.5165085,,,America/Chicago,,ChIJVVUVieNQAIgRyf5uIPOm46M,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x880050e389155555:0xa3e3a6f3206efec9,"Doctor, Family practice physician, Medical clinic, Pediatrician, Practitioner service location",,,,,,,,,"Stevens Point, WI, United States",FALSE,,,
0x8800511d96758ddd:0x1fa11c8b41ae3b8f,17153441600,"Dr. Susan K. Reynolds, MD","Dr. Susan K. Reynolds, MD, 5409 Vern Holmes Dr Ste 5409, Stevens Point, WI 54482, United States",44.4989014,-89.5165085,,,America/Chicago,http://www.aspirus.org/,ChIJ3Y11lh1RAIgRjzuuQYscoR8,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x8800511d96758ddd:0x1fa11c8b41ae3b8f,Doctor,,,,,,,,,"Stevens Point, WI, United States",FALSE,,,
0x880050e209cffe0b:0x9a415fb5e787c9b9,17153440172,Bridget Kilbride,"Bridget Kilbride, 5501A Vern Holmes Dr, Stevens Point, WI 54482, United States",44.4982894,-89.5117674,,,America/Chicago,https://forefrontdermatology.com/provider/bridget-kilbride-pa-c/,ChIJC_7PCeJQAIgRucmH57VfQZo,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x880050e209cffe0b:0x9a415fb5e787c9b9,"General practitioner, Physician assistant",,,,,,,,,"Stevens Point, WI, United States",FALSE,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=f0tMw1-mt-8NErF6IB7WHg&cb_client=search.gws-prod.gps&w=203&h=100&yaw=218.31113&pitch=0&thumbfov=100,,
0x8800511d96758ddd:0xadb0eed13ce7b8cd,17153441600,"Dr. Alberto H. Araya, MD","Dr. Alberto H. Araya, MD, 5409 Vern Holmes Dr Ste 5409, Stevens Point, WI 54482, United States",44.4989014,-89.5165085,,,America/Chicago,http://www.aspirus.org/,ChIJ3Y11lh1RAIgRzbjnPNHusK0,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x8800511d96758ddd:0xadb0eed13ce7b8cd,Family practice physician,,,,,,,,,"Stevens Point, WI, United States",FALSE,,,
0x880050e389155555:0x4e89de1113f29b92,17153421185,Stacy Shulfer,"Stacy Shulfer, 5409 Vern Holmes Dr Ste 5409, Stevens Point, WI 54482, United States",44.4989014,-89.5165085,1,5,America/Chicago,https://www.aspirus.org/find-a-provider/stacy-shulfer-pac-3824,ChIJVVUVieNQAIgRkpvyExHeiU4,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x880050e389155555:0x4e89de1113f29b92,"Doctor, Family practice physician, Practitioner service location",,,,,,,,,"Stevens Point, WI, United States",FALSE,,,
0x880050e209cffe0b:0x11717bc59643f46b,17153440172,Aelayna N Meyer,"Aelayna N Meyer, 5501A Vern Holmes Dr, Stevens Point, WI 54482, United States",44.4981081,-89.5120456,,,America/Chicago,,ChIJC_7PCeJQAIgRa_RDlsV7cRE,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x880050e209cffe0b:0x11717bc59643f46b,"Internist, Dermatologist",,,,,,,,,"Stevens Point, WI, United States",FALSE,,,
0x8800511d96758ddd:0x210d910597708923,18004414013,"Dr. Samer Jabbour, MD","Dr. Samer Jabbour, MD, 5409 Vern Holmes Dr Ste 5409, Stevens Point, WI 54482, United States",44.4989014,-89.5165085,,,America/Chicago,http://www.aspirus.org/,ChIJ3Y11lh1RAIgRI4lwlwWRDSE,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x8800511d96758ddd:0x210d910597708923,Doctor,,,,,,,,,"Stevens Point, WI, United States",FALSE,,,
0x8800511d96758ddd:0x3294b842d36640c6,17158472019,"Dr. Brian E. Bunch, MD","Dr. Brian E. Bunch, MD, 5409 Vern Holmes Dr Ste 5409, Stevens Point, WI 54482, United States",44.4989014,-89.5165085,,,America/Chicago,http://www.aspirus.org/,ChIJ3Y11lh1RAIgRxkBm00K4lDI,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x8800511d96758ddd:0x3294b842d36640c6,Doctor,,,,,,,,,"Stevens Point, WI, United States",FALSE,,,
0x8800511d96042759:0x4bc13c32b707aa60,18004414013,"Dr. Paul A. Luetmer, MD","Dr. Paul A. Luetmer, MD, 5409 Vern Holmes Dr Ste 5409, Stevens Point, WI 54482, United States",44.4989014,-89.5165085,,,America/Chicago,http://www.aspirus.org/,ChIJWScElh1RAIgRYKoHtzI8wUs,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x8800511d96042759:0x4bc13c32b707aa60,Doctor,,,,,,,,,"Stevens Point, WI, United States",FALSE,,,
0x880050e389155555:0x1e1df23cd89ff698,17153441600,Ann Weisman,"Ann Weisman, 5409 Vern Holmes Dr, Stevens Point, WI 544828853, United States",44.4989014,-89.5165085,,,America/Chicago,,ChIJVVUVieNQAIgRmPaf2DzyHR4,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x880050e389155555:0x1e1df23cd89ff698,"General practitioner, Physician assistant",,,,,,,,,"Stevens Point, WI, United States",FALSE,,,
