"business_id","phone_number","name","full_address","latitude","longitude","review_count","rating","timezone","website","place_id","place_link","types","price_level","Wednesday","Thursday","Friday","Saturday","Sunday","Monday","Tuesday","city","verified","photos","state","description"
"0x8752f5681761e251:0x8b1987edd20af271","+18012646677","Handy & Handy Attorneys At Law","Handy & Handy Attorneys At Law, 2150 S 1300 E Suite 300, Salt Lake City, UT 84106, United States","40.7242333","-111.8542162","241","4.9","America/Denver","https://www.handylawutah.com/","ChIJUeJhF2j1UocRcfIK0u2HGYs","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x8752f5681761e251:0x8b1987edd20af271","Personal injury attorney","","8AM5PM","8AM5PM","8AM5PM","Closed","Closed","8AM5PM","8AM5PM","Salt Lake City, UT, United States","true","https://lh5.googleusercontent.com/p/AF1QipMy5pDGx9YFWgOF-HFMKWLkqL9TOMXXOyPXHjHB=w203-h135-k-no","Closed  Opens 8AM",""
"0x80c2c64cbc81bee1:0xe28f2310f9164081","+12132933350","West Coast Trial Lawyers","West Coast Trial Lawyers, 350 S Grand Ave # 3350, Los Angeles, CA 90071, United States","34.051498599999995","-118.25165729999999","307","4.8","America/Los_Angeles","https://westcoasttriallawyers.com/?utm_source=GMB+LA+South+Grand&utm_medium=GMB","ChIJ4b6BvEzGwoARgUAW-RAjj-I","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x80c2c64cbc81bee1:0xe28f2310f9164081","Personal injury attorney, Law firm, Attorney, Legal services, Trial attorney","","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Los Angeles, CA, United States","true","https://lh5.googleusercontent.com/p/AF1QipNENmIVai_9BlXNU2KkWyyNjG0D5cY1G-5ojDEG=w203-h141-k-no","Open 24 hours",""
"0x809ad0d6fec6de1f:0x6619203998174067","+19164459555","Office of the Attorney General","Office of the Attorney General, 1300 I St, Sacramento, CA 95814, United States","38.579913999999995","-121.4881724","8","2.1","America/Los_Angeles","https://oag.ca.gov/","ChIJH97G_tbQmoARZ0AXmDkgGWY","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x809ad0d6fec6de1f:0x6619203998174067","Business center, District attorney","","9AM5PM","9AM5PM","9AM5PM","Closed","Closed","9AM5PM","9AM5PM","Sacramento, CA, United States","false","https://lh5.googleusercontent.com/p/AF1QipPDFjYp3yRps32rFBMlWXvIvoWfW-FWMEE5F9c8=w203-h269-k-no","Closed  Opens 9AM",""
"0x80c2c7dac5ad434f:0x304fc46a19db0352","+12137444201","L A County District Attorney","L A County District Attorney, 1933 S Broadway #730, Los Angeles, CA 90007, United States","34.0312694","-118.2661644","12","3.2","America/Los_Angeles","https://da.lacounty.gov/","ChIJT0OtxdrHwoARUgPbGWrETzA","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x80c2c7dac5ad434f:0x304fc46a19db0352","District attorney, County government office","","8AM5PM","8AM5PM","8AM5PM","Closed","Closed","8AM5PM","8AM5PM","Los Angeles, CA, United States","false","https://lh5.googleusercontent.com/p/AF1QipNraVIxE345lySP79avlQaUm_-heHAvHWn_UorH=w203-h114-k-no","Closed  Opens 8AM",""
"0x4888152b870afcb5:0xbf023fdea712a543","01698283265","Scullion LAW | Solicitors","Scullion LAW | Solicitors, 105 Cadzow St, Hamilton ML3 6HG, United Kingdom","55.7772545","-4.0385358","206","4.6","Europe/London","https://www.scullionlaw.com/","ChIJtfwKhysViEgRQ6USp94_Ar8","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x4888152b870afcb5:0xbf023fdea712a543","Attorney, Conveyancer, Criminal justice attorney, Divorce lawyer, Elder law attorney, Estate planning attorney, Family law attorney, Law firm, Personal injury attorney, Real estate attorney","","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Hamilton, United Kingdom","true","https://lh5.googleusercontent.com/p/AF1QipO_PHfa8J6yndstutYe4f0wBhoeg9ZTBhHRRNBa=w203-h135-k-no","Open 24 hours",""
"0x4887c796e51ae719:0x9b04af5d0added3c","01312255214","Lawford Kidd","Lawford Kidd, 19 W Tollcross, Edinburgh EH3 9QN, United Kingdom","55.9430489","-3.2068775","53","4.9","Europe/London","https://www.lawfordclaims.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing","ChIJGeca5ZbHh0gRPO3dCl2vBJs","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x4887c796e51ae719:0x9b04af5d0added3c","Personal injury attorney, Law firm, Attorney, Trial attorney","","9AM5PM","9AM5PM","9AM5PM","Closed","Closed","9AM5PM","9AM5PM","Edinburgh, United Kingdom","true","https://lh5.googleusercontent.com/p/AF1QipNvAduYbgMLMzVPpADKPFNBRelWZXadJ2-D-I5J=w203-h114-k-no","Open  Closes 5PM",""
"0x488847fb65a3dec9:0x33ebb751f5be0182","01416115221","Austin Lafferty Ltd","Austin Lafferty Ltd, 118 Ayr Rd, Newton Mearns, Glasgow G77 6EG, United Kingdom","55.7803414","-4.3192431","100","5","Europe/London","https://www.austinlafferty.co.uk/contact-us/newton-mearns/","ChIJyd6jZftHiEgRggG-9VG36zM","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x488847fb65a3dec9:0x33ebb751f5be0182","Attorney, Divorce lawyer, Estate planning attorney, Family law attorney, Law firm, Legal services, Personal injury attorney, Real estate agent","","9AM5PM","9AM5PM","9AM5PM","Closed","Closed","9AM5PM","9AM5PM","Glasgow, United Kingdom","true","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=lY820fSY8p84pWM77BfoSw&cb_client=search.gws-prod.gps&w=203&h=100&yaw=314.83975&pitch=0&thumbfov=100","Open  Closes 5PM",""
"0x4887c795f4ba8be1:0x46650272e6950345","01312027516","Gibson Kerr Family Law","Gibson Kerr Family Law, 6 Randolph Cres, Edinburgh EH3 7TH, United Kingdom","55.952014","-3.2107973999999997","32","4.3","Europe/London","https://www.gibsonkerr.co.uk/?utm_source=gmbedinburgh&utm_medium=organic&utm_campaign=gmb-main-link&utm_content=edinburgh","ChIJ4Yu69JXHh0gRRQOV5nICZUY","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x4887c795f4ba8be1:0x46650272e6950345","Family law attorney, Divorce lawyer, Divorce service, Estate planning attorney, Law firm, Attorney, Legal services, Mediation service, Real estate attorney, Tax attorney","","8:30AM5PM","8:30AM5PM","8:30AM5PM","Closed","Closed","8:30AM5PM","8:30AM5PM","Edinburgh, United Kingdom","true","https://lh5.googleusercontent.com/p/AF1QipMwmNfitq9kTJu6JXylnCUXiNh1jFxhsLVYWx2J=w203-h135-k-no","Open  Closes 5PM",""
"0x4887c7bd980370c1:0x1242c21083373e2b","01314784724","Tidman Legal","Tidman Legal, 6 St Colme St, Edinburgh EH3 6AD, United Kingdom","55.953345399999996","-3.2085874999999997","82","5","Europe/London","https://www.tidmanlegal.com/","ChIJwXADmL3Hh0gRKz43gxDCQhI","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x4887c7bd980370c1:0x1242c21083373e2b","Attorney, Intellectual property registry, Law firm, Legal services, Notary public, Patent attorney","","9AM5:30PM","9AM5:30PM","9AM5:30PM","Closed","Closed","9AM5:30PM","9AM5:30PM","Edinburgh, United Kingdom","true","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=zNWDVRdpw2JNhgTXjumbyg&cb_client=search.gws-prod.gps&w=203&h=100&yaw=346.89743&pitch=0&thumbfov=100","Open  Closes 5:30PM",""
"0x4888152a28384155:0x673fc18e1ce427b0","01698285885","Charles Ferguson Solicitors","Charles Ferguson Solicitors, 6 Keith St, Hamilton ML3 7BL, United Kingdom","55.7759605","-4.0329723","26","4.5","Europe/London","https://www.charlesferguson.co.uk/","ChIJVUE4KCoViEgRsCfkHI7BP2c","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x4888152a28384155:0x673fc18e1ce427b0","Criminal justice attorney, Law firm, Attorney, Legal aid office, Legal services, Trial attorney","","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Hamilton, United Kingdom","true","https://lh5.googleusercontent.com/p/AF1QipOz8YGl_GgA4cZHyt1XF8fNAA1rXmk1MgQAlb1J=w203-h114-k-no","Open 24 hours",""
