business_id,phone_number,name,full_address,latitude,longitude,review_count,rating,timezone,website,place_id,place_link,types,price_level,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,city,verified,photos,state,description,email
0x8752f5681761e251:0x8b1987edd20af271,18012646677,Handy & Handy Attorneys At Law,"Handy & Handy Attorneys At Law, 2150 S 1300 E Suite 300, Salt Lake City, UT 84106, United States",40.7242333,-111.8542162,241.0,4.9,America/Denver,https://www.handylawutah.com/,ChIJUeJhF2j1UocRcfIK0u2HGYs,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x8752f5681761e251:0x8b1987edd20af271,Personal injury attorney,,8AM5PM,8AM5PM,8AM5PM,Closed,Closed,8AM5PM,8AM5PM,"Salt Lake City, UT, United States",True,https://lh5.googleusercontent.com/p/AF1QipMy5pDGx9YFWgOF-HFMKWLkqL9TOMXXOyPXHjHB=w203-h135-k-no,Closed  Opens 8AM,,"21@vingtetun.org, james@parall.ax, gal@mozilla.com, steven@twelvetone.tv, cjones@mozilla.com"
0x809ad0d6fec6de1f:0x6619203998174067,19164459555,Office of the Attorney General,"Office of the Attorney General, 1300 I St, Sacramento, CA 95814, United States",38.579914,-121.4881724,8.0,2.1,America/Los_Angeles,https://oag.ca.gov/,ChIJH97G_tbQmoARZ0AXmDkgGWY,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x809ad0d6fec6de1f:0x6619203998174067,"Business center, District attorney",,9AM5PM,9AM5PM,9AM5PM,Closed,Closed,9AM5PM,9AM5PM,"Sacramento, CA, United States",False,https://lh5.googleusercontent.com/p/AF1QipPDFjYp3yRps32rFBMlWXvIvoWfW-FWMEE5F9c8=w203-h269-k-no,Closed  Opens 9AM,,"ceqa@doj.ca.gov, firearms.bureau@doj.ca.gov, sellers.travel@doj.ca.gov, authorizationquestions@doj.ca.gov, recordreview@doj.ca.gov, advocate@doj.ca.gov, doj.appbill@doj.ca.gov, bgcems@doj.ca.gov, chkcashpermit@doj.ca.gov, visa-immigration@doj.ca.gov, fosteryouthhelp@dss.ca.gov, marc.nolan@doj.ca.gov, fpcert@doj.ca.gov, bgccharitablegambling@doj.ca.gov, missing.persons@doj.ca.gov, gamblingcontrol@doj.ca.gov, caci-inquiry@doj.ca.gov, appagencyquestions@doj.ca.gov, askci@state.gov"
0x488847fb65a3dec9:0x33ebb751f5be0182,1416115221,Austin Lafferty Ltd,"Austin Lafferty Ltd, 118 Ayr Rd, Newton Mearns, Glasgow G77 6EG, United Kingdom",55.7803414,-4.3192431,100.0,5.0,Europe/London,https://www.austinlafferty.co.uk/contact-us/newton-mearns/,ChIJyd6jZftHiEgRggG-9VG36zM,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x488847fb65a3dec9:0x33ebb751f5be0182,"Attorney, Divorce lawyer, Estate planning attorney, Family law attorney, Law firm, Legal services, Personal injury attorney, Real estate agent",,9AM5PM,9AM5PM,9AM5PM,Closed,Closed,9AM5PM,9AM5PM,"Glasgow, United Kingdom",True,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=lY820fSY8p84pWM77BfoSw&cb_client=search.gws-prod.gps&w=203&h=100&yaw=314.83975&pitch=0&thumbfov=100,Open  Closes 5PM,,"lfyfe@laffertylaw.com, hamilton@laffertylaw.com, kdonaghy@laffertylaw.com, hcampbell@laffertylaw.com, aaustin@laffertylaw.com, sroberts@laffertylaw.com, eastkilbride@laffertylaw.com, jcushley@laffertylaw.com, jbarrie@laffertylaw.com, giffnock@laffertylaw.com, afarr@laffertylaw.com, newtonmearns@laffertylaw.com, eblake@laffertylaw.com, alafferty@laffertylaw.com, lmccall@laffertylaw.com, oahmed@laffertylaw.com, aduncan@laffertylaw.com, sgoodwin@laffertylaw.com, lmcmillan@laffertylaw.com, dcoyle@laffertylaw.com, jmchugh@laffertylaw.com, imckillop@laffertylaw.com, enquiry@laffertylaw.com, jdonaghy@laffertylaw.com, mperrie@laffertylaw.com, jwaite@laffertylaw.com, jroberts@laffertylaw.com"
0x4887c795f4ba8be1:0x46650272e6950345,1312027516,Gibson Kerr Family Law,"Gibson Kerr Family Law, 6 Randolph Cres, Edinburgh EH3 7TH, United Kingdom",55.952014,-3.2107974,32.0,4.3,Europe/London,https://www.gibsonkerr.co.uk/?utm_source=gmbedinburgh&utm_medium=organic&utm_campaign=gmb-main-link&utm_content=edinburgh,ChIJ4Yu69JXHh0gRRQOV5nICZUY,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x4887c795f4ba8be1:0x46650272e6950345,"Family law attorney, Divorce lawyer, Divorce service, Estate planning attorney, Law firm, Attorney, Legal services, Mediation service, Real estate attorney, Tax attorney",,8:30AM5PM,8:30AM5PM,8:30AM5PM,Closed,Closed,8:30AM5PM,8:30AM5PM,"Edinburgh, United Kingdom",True,https://lh5.googleusercontent.com/p/AF1QipMwmNfitq9kTJu6JXylnCUXiNh1jFxhsLVYWx2J=w203-h135-k-no,Open  Closes 5PM,,"josephine.kosir@gibsonkerr.co.uk, rhian.mackay@gibsonkerr.co.uk, mira.petkova@gibsonkerr.co.uk, makaela.fehlhaber@gibsonkerr.co.uk, aneta.sapota@gibsonkerr.co.uk, stuart.millar@gibsonkerr.co.uk, morag.hunter@gibsonkerr.co.uk, lindsay.maclean@gibsonkerr.co.uk, susie.alexander@gibsonkerr.co.uk, mhairi.pierce@gibsonkerr.co.uk, elaine.bell@gibsonkerr.co.uk, sara.albizzati@gibsonkerr.co.uk, karen.sutherland@gibsonkerr.co.uk, laura.brown@gibsonkerr.co.uk, fiona.rasmusen@gibsonkerr.co.uk, anna.lewicka@gibsonkerr.co.uk, katherine.logan@gibsonkerr.co.uk, briege.valentine@gibsonkerr.co.uk, lynsey.dingwall@gibsonkerr.co.uk, glasgow@gibsonkerr.co.uk, gabriella.lipschitz@gibsonkerr.co.uk, nadine.martin@gibsonkerr.co.uk, nadia.inglis@gibsonkerr.co.uk, victoria.pryde-covey@gibsonkerr.co.uk, scott.rasmusen@gibsonkerr.co.uk, edinburgh@gibsonkerr.co.uk, katie.fulton@gibsonkerr.co.uk, sunha.ahmed@gibsonkerr.co.uk, kirstie.boyne@gibsonkerr.co.uk, olivia.mcmurtrie@gibsonkerr.co.uk, zaynab.alnasser@gibsonkerr.co.uk, reema.fida@gibsonkerr.co.uk, nikki.lemon@gibsonkerr.co.uk, isabel.stehno@gisbonkerr.co.uk"
0x48758bd384a28881:0xd4536045276780c1,7935219228,Wills in Plain English,,47.73855,12.5088275,25.0,5.0,Europe/London,http://www.willsinplainenglish.co.uk/,ChIJgYiihNOLdUgRwYBnJ0VgU9Q,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x48758bd384a28881:0xd4536045276780c1,"Estate planning attorney, Service establishment, Legal services",,9AM6PM,9AM6PM,9AM6PM,Closed,Closed,9AM6PM,9AM6PM,,True,,Open  Closes 6PM,,"rebecca@willsinplainenglish.co.uk, mark@willsinplainenglish.co.uk"
0x48883f426d83b751:0x6466f99bf9221bed,1355263777,Austin Lafferty Ltd,"Austin Lafferty Ltd, Princes Square, 213, Edinburgh House, Cornwall St, East Kilbride, Glasgow G74 1LJ, United Kingdom",55.7612397,-4.1783466,55.0,4.9,Europe/London,https://www.austinlafferty.co.uk/contact-us/east-kilbride/,ChIJUbeDbUI_iEgR7Rsi-Zv5ZmQ,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x48883f426d83b751:0x6466f99bf9221bed,"Attorney, Divorce lawyer, Estate planning attorney, Family law attorney, Law firm, Legal services, Personal injury attorney, Real estate agency",,9AM5PM,9AM5PM,9AM5PM,Closed,Closed,9AM5PM,9AM5PM,"Glasgow, United Kingdom",True,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=FF1cq7OPPWCjEPDSUfsvWg&cb_client=search.gws-prod.gps&w=203&h=100&yaw=99.188065&pitch=0&thumbfov=100,Open  Closes 5PM,,"lfyfe@laffertylaw.com, mperrie@laffertylaw.com, jcushley@laffertylaw.com, oahmed@laffertylaw.com, sroberts@laffertylaw.com, jwaite@laffertylaw.com, eblake@laffertylaw.com, eastkilbride@laffertylaw.com, jbarrie@laffertylaw.com, newtonmearns@laffertylaw.com, alafferty@laffertylaw.com, dcoyle@laffertylaw.com, kdonaghy@laffertylaw.com, hcampbell@laffertylaw.com, jmchugh@laffertylaw.com, jdonaghy@laffertylaw.com, giffnock@laffertylaw.com, lmccall@laffertylaw.com, afarr@laffertylaw.com, aduncan@laffertylaw.com, lmcmillan@laffertylaw.com, hamilton@laffertylaw.com, aaustin@laffertylaw.com, sgoodwin@laffertylaw.com, enquiry@laffertylaw.com, jroberts@laffertylaw.com, imckillop@laffertylaw.com"
0x4887c78e833fb759:0x48f6a561ad9d2674,1315606625,Joseph G Boyd & Co Court Lawyers,"Joseph G Boyd & Co Court Lawyers, 34 Lochrin Buildings, Edinburgh EH3 9ND, United Kingdom",55.9418852,-3.2046498,144.0,4.9,Europe/London,http://www.legalaidlawyersscotland.com/,ChIJWbc_g47Hh0gRdCadrWGl9kg,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x4887c78e833fb759:0x48f6a561ad9d2674,"Attorney, City courthouse, Civil law attorney, Criminal justice attorney, Faculty of law, Family law attorney, Law firm, Legal aid office, Legal services",,9AM5PM,9AM5PM,9AM4:30PM,Closed,Closed,9AM5PM,9AM5PM,"Edinburgh, United Kingdom",True,https://lh5.googleusercontent.com/p/AF1QipMSol3P5doTW77aFAHVtdqJymy3_3bBu8mZ9Vk8=w203-h135-k-no,Open  Closes 5PM,,office@jboydlawyers.com
0x4887bf5468d6dc55:0x9134730c9865e630,1312100172,Shand & Co Solicitors,"Shand & Co Solicitors, 102 High St, Dalkeith EH22 1HZ, United Kingdom",55.8942945,-3.0694818,60.0,5.0,Europe/London,https://www.shandsolicitors.co.uk/,ChIJVdzWaFS_h0gRMOZlmAxzNJE,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x4887bf5468d6dc55:0x9134730c9865e630,"Attorney, Civil law attorney, Divorce lawyer, Employment attorney, Family law attorney",,9AM5PM,9AM5PM,9AM5PM,Closed,Closed,9AM5PM,9AM5PM,"Dalkeith, United Kingdom",True,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=QzaYcY8_BuRauBziClrQuQ&cb_client=search.gws-prod.gps&w=203&h=100&yaw=137.06425&pitch=0&thumbfov=100,Open  Closes 5PM,,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com
0x488847b9f6a1f5d3:0x7e5826de4afb8999,1416212212,Austin Lafferty Ltd,"Austin Lafferty Ltd, 213 Fenwick Rd, Giffnock, Glasgow G46 6JD, United Kingdom",55.8043564,-4.2944302,53.0,4.9,Europe/London,https://www.austinlafferty.co.uk/contact-us/giffnock/,ChIJ0_Wh9rlHiEgRmYn7St4mWH4,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x488847b9f6a1f5d3:0x7e5826de4afb8999,"Attorney, Divorce lawyer, Estate planning attorney, Family law attorney, Law firm, Legal services, Personal injury attorney, Real estate agency",,9AM5PM,9AM5PM,9AM5PM,Closed,Closed,9AM5PM,9AM5PM,"Glasgow, United Kingdom",True,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=jfgaqImf8_Yvz5rxrwIB7Q&cb_client=search.gws-prod.gps&w=203&h=100&yaw=84.046196&pitch=0&thumbfov=100,Open  Closes 5PM,,"jbarrie@laffertylaw.com, jroberts@laffertylaw.com, imckillop@laffertylaw.com, aduncan@laffertylaw.com, kdonaghy@laffertylaw.com, giffnock@laffertylaw.com, afarr@laffertylaw.com, hamilton@laffertylaw.com, eastkilbride@laffertylaw.com, lmccall@laffertylaw.com, lmcmillan@laffertylaw.com, oahmed@laffertylaw.com, jcushley@laffertylaw.com, aaustin@laffertylaw.com, hcampbell@laffertylaw.com, dcoyle@laffertylaw.com, lfyfe@laffertylaw.com, alafferty@laffertylaw.com, sroberts@laffertylaw.com, enquiry@laffertylaw.com, eblake@laffertylaw.com, sgoodwin@laffertylaw.com, jdonaghy@laffertylaw.com, jwaite@laffertylaw.com, jmchugh@laffertylaw.com, newtonmearns@laffertylaw.com, mperrie@laffertylaw.com"
0x4888442a5e7fc7e3:0x4a0389a70826d731,1416412912,The Glasgow Law Practice,"The Glasgow Law Practice, 124 Main St, Cambuslang, Glasgow G72 7EL, United Kingdom",55.8189271,-4.1683164,26.0,4.2,Europe/London,http://www.theglasgowlawpractice.co.uk/,ChIJ48d_XipEiEgRMdcmCKeJA0o,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x4888442a5e7fc7e3:0x4a0389a70826d731,"Attorney, Employment attorney, Family law attorney, Law firm",,9AM5PM,9AM5PM,9AM5PM,Closed,Closed,9AM5PM,9AM5PM,"Glasgow, United Kingdom",True,https://lh5.googleusercontent.com/p/AF1QipO_WIxyaRs0RsJdbwSJsJt2j9sorFyZFNkjaCNz=w203-h126-k-no,Open  Closes 5PM,,"pm@theglasgowlawpractice.co.uk, eam@theglasgowlawpractice.co.uk, lb@theglasgowlawpractice.co.uk, newbusiness@theglasgowlawpractice.co.uk, rf@theglasgowlawpractice.co.uk, ry@theglasgowlawpractice.co.uk, at@theglasgowlawpractice.co.uk, newnewbusiness@theglasgowlawpractice.co.uk"
